articulo_codigo,vehiculo_marca,vehiculo_modelo,vehiculo_anio_desde,vehiculo_anio_hasta,origen,confirmado,nota
DPA9390,Volkswagen,Suran,2010,2019,manual,1,
DPA9390,Peugeot,206,2009,2013,manual,1,
DPA9638,Volkswagen,Fox,2010,2018,extraido_ia,0,
DPA1677,Ford,Fiesta,2011,2019,extraido_ia,0,
DPA1677,Ford,EcoSport,2013,2021,manual,1,
DPA1677,Toyota,Corolla,2014,2019,extraido_ia,0,
VKM11715,Peugeot,208,2013,2020,extraido_ia,0,
VKM11715,Fiat,Uno,2011,2020,extraido_ia,0,
VKBA3632,Citroën,Berlingo,2012,2020,manual,1,
VKBA3632,Nissan,Kicks,2017,2023,manual,1,
VKM12593,Citroën,Berlingo,2012,2020,extraido_ia,0,
VKM12593,Chevrolet,Spin,2013,2020,extraido_ia,0,
6090-2RS,Nissan,Frontier,2016,2023,extraido_ia,0,
6090-2RS,Ford,Focus,2013,2019,manual,1,
VKBA3674,Ford,EcoSport,2013,2021,extraido_ia,0,
VKBA3674,Fiat,Toro,2016,2023,extraido_ia,0,
DPA3065,Peugeot,208,2013,2020,extraido_ia,0,
DPA3065,Ford,Fiesta,2011,2019,extraido_ia,0,
VKBA3465,Volkswagen,Amarok,2011,2022,manual,1,
VKBA3465,Fiat,Strada,2014,2020,manual,1,
VKBA3465,Fiat,Uno,2011,2020,extraido_ia,0,
VKBA3664,Renault,Kangoo,2010,2018,extraido_ia,0,
CV8765,Renault,Clio,2012,2016,extraido_ia,0,
CV8765,Renault,Duster,2012,2022,extraido_ia,0,
CV8765,Peugeot,Partner,2012,2020,extraido_ia,0,
DPA1996,Nissan,March,2014,2021,manual,1,
DPA1996,Volkswagen,Gol Trend,2013,2019,manual,1,
CV8329,Renault,Sandero,2015,2022,extraido_ia,0,
DPA8638,Fiat,Uno,2011,2020,extraido_ia,0,
DPA8638,Nissan,Versa,2015,2022,manual,1,
DPA8638,Chevrolet,Agile,2009,2016,extraido_ia,0,
VKBA3418,Citroën,Berlingo,2012,2020,extraido_ia,0,
VKBA3418,Renault,Master,2015,2023,manual,1,
VKBA3418,Nissan,Kicks,2017,2023,manual,1,
DPA5114,Volkswagen,Fox,2010,2018,manual,1,
DPA5114,Citroën,C4 Lounge,2014,2020,manual,1,
DPA5114,Fiat,Mobi,2017,2023,extraido_ia,0,
CV5153,Chevrolet,Tracker,2013,2020,manual,1,
CV5153,Chevrolet,Spin,2013,2020,manual,1,
CV9107,Peugeot,2008,2016,2023,manual,1,
CV9107,Chevrolet,Onix,2016,2023,extraido_ia,0,
